Date,Heure,S2STemp,S2SHR
11/12/2017,07:00:01,7,103.3
11/12/2017,08:00:01,7.9,103.2
11/12/2017,09:00:01,8.7,103
11/12/2017,10:00:01,9.7,88.2
11/12/2017,11:00:01,10,82.2
11/12/2017,12:00:01,10,74.1
11/12/2017,13:00:01,8.5,80.5
11/12/2017,14:00:01,9.9,70.2
11/12/2017,15:00:01,8,81.3
11/12/2017,16:00:01,6.3,101.5
11/12/2017,17:00:01,6,96.6
11/12/2017,18:00:01,6.2,91.9
11/12/2017,19:00:01,5.3,102.1
11/12/2017,20:00:01,2.8,98.8
11/12/2017,21:00:01,2.3,95
11/12/2017,22:00:01,2.3,94.9
11/12/2017,23:00:01,2.6,92.8
12/12/2017,00:00:01,3,92.8
12/12/2017,01:00:01,3.2,93.1
12/12/2017,02:00:01,3.2,95.1
12/12/2017,03:00:01,3,97.9
12/12/2017,04:00:01,3,97.7
12/12/2017,05:00:01,2.6,98.5
12/12/2017,06:00:01,2.3,95.2
12/12/2017,07:00:01,2.5,97
12/12/2017,08:00:01,2,97
12/12/2017,09:00:01,5,85.2
12/12/2017,10:00:01,9.8,69.5
12/12/2017,11:00:01,12.2,57.6
12/12/2017,12:00:01,16.1,48
12/12/2017,13:00:01,15.6,47
12/12/2017,14:00:01,9.3,62.4
12/12/2017,15:00:01,7.9,66.6
12/12/2017,16:00:01,7.3,69.9
12/12/2017,17:00:01,5.3,79.3
12/12/2017,18:00:01,3.8,86
12/12/2017,19:00:01,3.2,89.4
12/12/2017,20:00:01,3.1,91
12/12/2017,21:00:01,3.5,90.8
12/12/2017,22:00:01,2.6,92.8
12/12/2017,23:00:01,2.5,93
13/12/2017,00:00:01,3,93
13/12/2017,01:00:01,3.7,89.6
13/12/2017,02:00:01,3.8,89.2
13/12/2017,03:00:01,3.3,92.8
13/12/2017,04:00:01,2.8,93.7
13/12/2017,05:00:01,3.3,92.5
13/12/2017,06:00:01,3.6,91.2
13/12/2017,07:00:01,3.4,91.9
13/12/2017,08:00:01,3.6,91.9
13/12/2017,09:00:01,3.1,100.1
13/12/2017,10:00:01,3.3,103.5
13/12/2017,11:00:01,3.8,104.3
13/12/2017,12:00:01,4.1,104.3
13/12/2017,13:00:01,5.1,106.1
13/12/2017,14:00:01,6.1,104.1
13/12/2017,15:00:01,6.8,104.3
13/12/2017,16:00:01,7.1,104.5
13/12/2017,17:00:01,7.2,103.9
13/12/2017,18:00:01,7.3,103.9
13/12/2017,19:00:01,7.5,103.8
13/12/2017,20:00:01,7.5,104.1
13/12/2017,21:00:01,8.2,104.1
13/12/2017,22:00:01,8.2,103.1
13/12/2017,23:00:01,6.9,90.3
14/12/2017,00:00:01,6.8,94
14/12/2017,01:00:01,7,91.3
14/12/2017,02:00:01,6,88.7
14/12/2017,03:00:01,5,89
14/12/2017,04:00:01,5.1,87.4
14/12/2017,05:00:01,4.9,86.8
14/12/2017,06:00:01,4.9,84.5
14/12/2017,07:00:01,4.7,84
14/12/2017,08:00:01,4.6,89.1
14/12/2017,09:00:01,6.3,83
14/12/2017,10:00:01,5.5,85.6
14/12/2017,11:00:01,5.8,84.5
14/12/2017,12:00:01,6.4,82
14/12/2017,13:00:01,6.2,84
14/12/2017,14:00:01,6.5,83
14/12/2017,15:00:01,6.3,86.1
14/12/2017,16:00:01,6.4,86.9
14/12/2017,17:00:01,6.2,88.6
14/12/2017,18:00:01,5.1,91.4
14/12/2017,19:00:01,5.6,90.5
14/12/2017,20:00:01,5.8,91.9
14/12/2017,21:00:01,4.7,94.2
14/12/2017,22:00:01,4.5,93.1
14/12/2017,23:00:01,4.4,89.4
15/12/2017,00:00:01,4.1,91.9
15/12/2017,01:00:01,4.1,91.8
15/12/2017,02:00:01,3.8,93.7
15/12/2017,03:00:01,3.9,92.8
15/12/2017,04:00:01,3.6,95.4
15/12/2017,05:00:01,3.4,103.1
15/12/2017,06:00:01,4.1,101.3
15/12/2017,07:00:01,3.3,98.1
15/12/2017,08:00:01,3.6,99.5
15/12/2017,09:00:01,4,97.6
15/12/2017,10:00:01,10,76.6
15/12/2017,11:00:01,5.7,89.9
15/12/2017,12:00:01,4.5,96.7
15/12/2017,13:00:01,4.3,103
15/12/2017,14:00:01,4.2,101.1
15/12/2017,15:00:01,4.5,98.7
15/12/2017,16:00:01,4.5,100.1
15/12/2017,17:00:01,4,100.4
15/12/2017,18:00:01,3.7,100.6
15/12/2017,19:00:01,3.7,100.9
15/12/2017,20:00:01,3.8,101.7
15/12/2017,21:00:01,4,100.7
15/12/2017,22:00:01,3.9,99.2
15/12/2017,23:00:01,3.8,99.1
16/12/2017,00:00:01,3.7,99.2
16/12/2017,01:00:01,3.8,100.8
16/12/2017,02:00:01,3.8,100.7
16/12/2017,03:00:01,3.8,101.8
16/12/2017,04:00:01,3.7,97.5
16/12/2017,05:00:01,3.1,100.6
16/12/2017,06:00:01,3.6,100.2
16/12/2017,07:00:01,3.9,100.2
16/12/2017,08:00:01,4,98.1
16/12/2017,09:00:01,3.9,98.6
16/12/2017,10:00:01,4.1,95.4
16/12/2017,11:00:01,5.1,92.3
16/12/2017,12:00:01,6.5,86.9
16/12/2017,13:00:01,5,89.9
16/12/2017,14:00:01,4.9,91.2
16/12/2017,15:00:01,4.5,89
16/12/2017,16:00:01,4.3,89.6
16/12/2017,17:00:01,3.8,90.5
16/12/2017,18:00:01,3.5,91
16/12/2017,19:00:01,2.5,95.9
16/12/2017,20:00:01,1.8,98
16/12/2017,21:00:01,1.4,98.5
16/12/2017,22:00:01,1.1,98.6
16/12/2017,23:00:01,0.8,99.7
17/12/2017,00:00:01,0.8,99
17/12/2017,01:00:01,1.6,97.4
17/12/2017,02:00:01,1.6,98.7
17/12/2017,03:00:01,1.6,100.1
17/12/2017,04:00:01,1.8,100.9
17/12/2017,05:00:01,1.6,102
17/12/2017,06:00:01,1.6,103
17/12/2017,07:00:01,1.2,104.3
17/12/2017,08:00:01,0.9,104.7
17/12/2017,09:00:01,1.1,104.7
17/12/2017,10:00:01,0.9,104.2
17/12/2017,11:00:01,1.4,103.5
17/12/2017,12:00:01,2.3,99.8
17/12/2017,13:00:01,3.6,93.9
17/12/2017,14:00:01,3.8,91
17/12/2017,15:00:01,3.2,93.3
17/12/2017,16:00:01,3.2,92.7
17/12/2017,17:00:01,2.3,95.6
17/12/2017,18:00:01,1.9,97.7
17/12/2017,19:00:01,1.8,98
17/12/2017,20:00:01,1.8,96.5
17/12/2017,21:00:01,2.3,97.4
17/12/2017,22:00:01,1.8,102
17/12/2017,23:00:01,2.2,101.3
18/12/2017,00:00:01,2.6,103.8
18/12/2017,01:00:01,3,104.5
18/12/2017,02:00:01,3.7,104.7
18/12/2017,03:00:01,4.4,105.1
18/12/2017,04:00:01,4.8,104.9
18/12/2017,05:00:01,5.2,105.2
18/12/2017,06:00:01,5.7,105
18/12/2017,07:00:01,6,106.2
18/12/2017,08:00:01,5.5,105.1
18/12/2017,09:00:01,5.7,104.8
18/12/2017,10:00:01,5.6,101.8
18/12/2017,11:00:01,6.6,93.9
18/12/2017,12:00:01,7.2,91.8
18/12/2017,13:00:01,7.8,89.4
18/12/2017,14:00:01,7.5,89.1
18/12/2017,15:00:01,7.1,87.7
18/12/2017,16:00:01,6.6,91.4
18/12/2017,17:00:01,6.3,88.5
18/12/2017,18:00:01,6,92.7
18/12/2017,19:00:01,6.1,94.4
18/12/2017,20:00:01,6,94.5
18/12/2017,21:00:01,5.8,94.5
18/12/2017,22:00:01,5.7,95.7
18/12/2017,23:00:01,5.3,97.4
19/12/2017,00:00:01,5.2,97.9
19/12/2017,01:00:01,5,99
19/12/2017,02:00:01,4.8,99.8
19/12/2017,03:00:01,4.5,100.4
19/12/2017,04:00:01,4.1,101.2
19/12/2017,05:00:01,3.6,102.9
19/12/2017,06:00:01,3.5,102.5
19/12/2017,07:00:01,3.7,102.9
19/12/2017,08:00:01,3.8,103.1
19/12/2017,09:00:01,3.6,103.5
19/12/2017,10:00:01,3.8,101.5
19/12/2017,11:00:01,4.8,99.6
19/12/2017,12:00:01,5.4,98.7
19/12/2017,13:00:01,8.3,89.1
19/12/2017,14:00:01,11.8,76.6
19/12/2017,15:00:01,7.7,90.8
19/12/2017,16:00:01,6,96.1
19/12/2017,17:00:01,5.3,96.9
19/12/2017,18:00:01,5,98.6
19/12/2017,19:00:01,5,99.5
19/12/2017,20:00:01,4.9,99.7
19/12/2017,21:00:01,4.8,99.8
19/12/2017,22:00:01,4.5,100.2
19/12/2017,23:00:01,4.3,101.2
20/12/2017,00:00:01,4.4,100.7
20/12/2017,01:00:01,4.6,100.4
20/12/2017,02:00:01,4.6,100.7
20/12/2017,03:00:01,4.6,101.8
20/12/2017,04:00:01,4.8,102.6
20/12/2017,05:00:01,4.8,102.9
20/12/2017,06:00:01,4.9,103.5
20/12/2017,07:00:01,5.1,103.9
20/12/2017,08:00:01,5.2,103.7
20/12/2017,09:00:01,5.5,104.1
20/12/2017,10:00:01,5.8,103.8
20/12/2017,11:00:01,6.3,101.8
20/12/2017,12:00:01,6.7,102.4
20/12/2017,13:00:01,7,101.8
20/12/2017,14:00:01,7.4,101.8
20/12/2017,15:00:01,7.3,103.1
20/12/2017,16:00:01,7.2,103.5
20/12/2017,17:00:01,7.2,104.1
20/12/2017,18:00:01,7.3,104.1
20/12/2017,19:00:01,7.3,104.4
20/12/2017,20:00:01,7.3,104.5
20/12/2017,21:00:01,7.3,104.4
20/12/2017,22:00:01,7.3,104.2
20/12/2017,23:00:01,7.3,104.5
21/12/2017,00:00:01,7.3,104.9
21/12/2017,01:00:01,7.3,104.5
21/12/2017,02:00:01,7.2,104.9
21/12/2017,03:00:01,7.2,104.7
21/12/2017,04:00:01,7.1,104.7
21/12/2017,05:00:01,7.1,105
21/12/2017,06:00:01,7.2,105
21/12/2017,07:00:01,7.3,104.9
21/12/2017,08:00:01,7.3,104.8
21/12/2017,09:00:01,7.4,105.1
21/12/2017,10:00:01,7.8,104.1
