Date,Heure,S2OTemp,S2OHR
11/12/2017,06:00:01,6.7,104
11/12/2017,07:00:01,7,104.6
11/12/2017,08:00:01,8.2,104.1
11/12/2017,09:00:01,8.9,98.8
11/12/2017,10:00:01,9.3,91.2
11/12/2017,11:00:01,9.7,84.9
11/12/2017,12:00:01,9.7,78.1
11/12/2017,13:00:01,9.7,92.9
11/12/2017,14:00:01,9.7,72.8
11/12/2017,15:00:01,7.2,95.5
11/12/2017,16:00:01,6.4,104
11/12/2017,17:00:01,5.9,104
11/12/2017,18:00:01,6,99.8
11/12/2017,19:00:01,5.3,104.6
11/12/2017,20:00:01,2.3,105.9
11/12/2017,21:00:01,1.5,105.6
11/12/2017,22:00:01,1.7,106.1
11/12/2017,23:00:01,1.6,104.3
12/12/2017,00:00:01,2.5,100.8
12/12/2017,01:00:01,3,96.6
12/12/2017,02:00:01,3,98.3
12/12/2017,03:00:01,2.7,102.5
12/12/2017,04:00:01,2.8,99.2
12/12/2017,05:00:01,2.5,99.7
12/12/2017,06:00:01,2.3,96.1
12/12/2017,07:00:01,2.5,97.5
12/12/2017,08:00:01,1.9,98.6
12/12/2017,09:00:01,1.9,97.4
12/12/2017,10:00:01,2.6,94.3
12/12/2017,11:00:01,3.5,90.2
12/12/2017,12:00:01,6.5,76.3
12/12/2017,13:00:01,8.2,71.3
12/12/2017,14:00:01,6.7,79
12/12/2017,15:00:01,5.8,77.9
12/12/2017,16:00:01,5.8,79.2
12/12/2017,17:00:01,4.5,85.3
12/12/2017,18:00:01,3.3,90.5
12/12/2017,19:00:01,2.9,92.9
12/12/2017,20:00:01,2.8,94.8
12/12/2017,21:00:01,3,94.2
12/12/2017,22:00:01,2.3,96.6
12/12/2017,23:00:01,2.2,96.7
13/12/2017,00:00:01,2.7,95.5
13/12/2017,01:00:01,3.5,92.7
13/12/2017,02:00:01,3.6,92.9
13/12/2017,03:00:01,3.1,95.3
13/12/2017,04:00:01,2.8,97.2
13/12/2017,05:00:01,3.2,95
13/12/2017,06:00:01,3.5,93.6
13/12/2017,07:00:01,3.3,94.1
13/12/2017,08:00:01,3.6,93.3
13/12/2017,09:00:01,3.5,98.6
13/12/2017,10:00:01,3.3,104.8
13/12/2017,11:00:01,3.7,105.8
13/12/2017,12:00:01,4.1,105
13/12/2017,13:00:01,5.1,105.4
13/12/2017,14:00:01,6.1,105
13/12/2017,15:00:01,6.7,104.4
13/12/2017,16:00:01,7,104.3
13/12/2017,17:00:01,7.1,104.1
13/12/2017,18:00:01,7.2,104.6
13/12/2017,19:00:01,7.4,104.8
13/12/2017,20:00:01,7.5,105
13/12/2017,21:00:01,8.3,104.7
13/12/2017,22:00:01,7.9,105
13/12/2017,23:00:01,7.1,92.2
14/12/2017,00:00:01,7.1,94.1
14/12/2017,01:00:01,6.6,96.1
14/12/2017,02:00:01,5.5,104.9
14/12/2017,03:00:01,4.7,103.6
14/12/2017,04:00:01,5,89.3
14/12/2017,05:00:01,5,87.7
14/12/2017,06:00:01,5.1,84.8
14/12/2017,07:00:01,4.7,84.7
14/12/2017,08:00:01,4.6,89.4
14/12/2017,09:00:01,5,88.5
14/12/2017,10:00:01,5.4,88.5
14/12/2017,11:00:01,5.8,85.2
14/12/2017,12:00:01,6.2,84.4
14/12/2017,13:00:01,6.2,85.3
14/12/2017,14:00:01,6.2,85.6
14/12/2017,15:00:01,6.3,87.1
14/12/2017,16:00:01,6.4,87.7
14/12/2017,17:00:01,6.1,90
14/12/2017,18:00:01,5.1,93.8
14/12/2017,19:00:01,5.5,91.9
14/12/2017,20:00:01,5.9,91.4
14/12/2017,21:00:01,4.1,104.7
14/12/2017,22:00:01,4.3,105.4
14/12/2017,23:00:01,4,101.5
15/12/2017,00:00:01,4,94.8
15/12/2017,01:00:01,4,95.1
15/12/2017,02:00:01,3.7,95.5
